"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
" Toru",1115223776,"FAC/2026/8368",Yes,"Arunachal Pradesh",PapumPare,Toru,"Primary Health Center","Bharti Sharma",HEALTH,0,0,0
"15 MER A",17297020428,"FAC/2026/8147",Yes,Meghalaya,RiBhoi,Umling,Anganwadi,ERES,ANGANWADI,0,0,0
"5th mile 1",17298060820,"FAC/2026/8055",Yes,Meghalaya,EastKhasiHills,Mylliem,Anganwadi,ERES,ANGANWADI,0,0,0
"7th Hosakote",8724536761,"FAC/2026/6411",Yes,Karnataka,Kodagu,Somwarpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"A Kemgre","mg-0006","FAC/2025/1635",Yes,Meghalaya,NorthGaroHills,Resubelpara,"Health and Wellness Center",ERES,HEALTH,0,2,2
"A Malkangiri      ",7818543758,"FAC/2026/10381",Yes,Odisha,Koraput,Dashmanthpur,"Sub Center","Onergy Solar",HEALTH,0,0,0
"AC Halli",4466535780,"FAC/2026/6312",Yes,Karnataka,Mandya,Nagamangala,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"AOC Veng",aocveng,"FAC/2025/5805",Yes,Mizoram,Lawngtlai,Lawngtlai,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
"APPBN Chimpu",1125557544,"FAC/2026/8904",Yes,"Arunachal Pradesh","Itanagar Capital Region",Itanagar,"Ayush Health & Wellness Center","Bharti Sharma",HEALTH,0,0,0
Aandale,3584632446,"FAC/2026/7063",Yes,Karnataka,Hassan,Beluru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aanekere,8165746838,"FAC/2026/7056",Yes,Karnataka,Tumkur,Turvekere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Aashiya,1111774251,"FAC/2025/2369",Yes,Gujarat,Banaskantha,Dhanera,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Aasodar,1115575738,"FAC/2025/2327",Yes,Gujarat,Banaskantha,Tharad,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Abbalagere,1342383872,"FAC/2025/6040",Yes,Karnataka,Shivamogga,Shivamogga,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Abbenahalli,8437286316,"FAC/2026/7288",Yes,Karnataka,Chitradurga,Challakere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Abburkatte,1161881154,"FAC/2026/6412",Yes,Karnataka,Kodagu,Somwarpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Aben,5821312526,"FAC/2025/1694",Yes,Manipur,Tamenglong,Tousem,"Sub Center","SNL Energy Solutions",HEALTH,0,2,2
Abhayapur,1186222616,"FAC/2025/0169",Yes,Assam,Bongaigaon,Topaplary,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Abludu,2573886187,"FAC/2026/6854",Yes,Karnataka,Chikkaballapura,Sidlagahatta,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Abyathmangala,5465833779,"FAC/2026/6413",Yes,Karnataka,Kodagu,Somwarpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Acchappanakoppalu,5325523529,"FAC/2026/6476",Yes,Karnataka,Mandya,Srirangapatna,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Achamatti,2256412160,"FAC/2025/5919",Yes,Karnataka,Belagavi,Savadatti,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Achanbigei,4378358552,"FAC/2026/7138",Yes,Manipur,"Imphal East",Sawombung,"Health and Wellness Center","SNL Energy Solutions",HEALTH,0,2,2
Adagal,3428676450,"FAC/2025/5821",Yes,Karnataka,Bagalkote,Badami,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Adagodi,2662434485,"FAC/2025/5956",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Adahalli,3847341751,"FAC/2025/4412",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Adalbari,7747723653,"FAC/2025/0870",Yes,Assam,Baksa,Mushalpur,"State Dispensary",ERES,HEALTH,0,2,2
Adanur,3234685745,"FAC/2026/7289",Yes,Karnataka,Chitradurga,Holalkere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Adarkuna,1113241283,"FAC/2025/0438",Yes,Assam,Karimganj,Mahakal,"Mini Primary Health Center",ERES,HEALTH,0,0,0
Addagadde,2852684378,"FAC/2026/6464",Yes,Karnataka,Chikkamagaluru,Sringeri,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Adhamunda,8467177658,"FAC/2025/3279",Yes,Odisha,Kalahandi,Kesinga,"Sub Center","Balaji Solar Systems",HEALTH,0,0,0
Adhargunchi,6775376822,"FAC/2025/4946",Yes,Karnataka,Dharwad,Hubli,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
"Adi-Pasi (Bine)",8277354810,"FAC/2026/8440",Yes,"Arunachal Pradesh",UpperSiang,CHCMariyang,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Adihudi,5384357439,"FAC/2025/5848",Yes,Karnataka,Bagalkote,Jamakhandi,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Adinadur,1115742627,"FAC/2026/6431",Yes,Karnataka,Kodagu,Somwarpet,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Adinggiri,1121835563,"FAC/2025/0481",Yes,Assam,KamrupMetro,GhyWardNo2,"Primary Health Center",ERES,HEALTH,0,0,0
"Adithya Pattana",2846567762,"FAC/2026/7055",Yes,Karnataka,Tumkur,Turvekere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
