"State","norm_district","variations_str"
"Karnataka","bengaluruurban","Bengaluru Urban, Bengaluruurban"
"Karnataka","uttarakannada","Uttara Kannada, Uttarakannada"
"Manipur","imphaleast","Imphaleast, Imphal East, ImphalEast"
"Manipur","imphalwest","Imphalwest, Imphal West, ImphalWest"
"Meghalaya","easternwestkhasihills","EasternWestKhasiHills, Eastern West Khasi Hills, Easternwestkhasihills"
"Meghalaya","eastgarohills","Eastgarohills, EastGaroHills"
"Meghalaya","eastjaintiahills","Eastjaintiahills, EastJaintiaHills"
"Meghalaya","eastkhasihills","EastKhasiHills, Eastkhasihills"
"Meghalaya","northgarohills","Northgarohills, NorthGaroHills"
"Meghalaya","ribhoi","RiBhoi, Ribhoi"
"Meghalaya","southgarohills","Southgarohills, SouthGaroHills"
"Meghalaya","southwestgarohills","SouthWestGaroHills, Southwestgarohills"
"Meghalaya","southwestkhasihills","SouthWestKhasiHills, Southwestkhasihills"
"Meghalaya","westgarohills","Westgarohills, WestGaroHills"
"Meghalaya","westjaintiahills","WestJaintiaHills, Westjaintiahills"
"Meghalaya","westkhasihills","Westkhasihills, WestKhasiHills, West Khasi Hills"
